ids,name,full_name,inviable
YAL001C,TFC3,Transcription Factor class C,1
YAL002W,VPS8,Vacuolar Protein Sorting,0
YAL003W,EFB1,Elongation Factor Beta,1
YAL004W,,,0
YAL005C,SSA1,Stress-Seventy subfamily A,0
YAL007C,ERP2,Emp24p/Erv25p Related Protein,0
YAL008W,FUN14,Function Unknown Now,0
YAL009W,SPO7,SPOrulation,0
YAL010C,MDM10,Mitochondrial Distribution and Morphology,0
YAL011W,SWC3,SWr Complex,0
YAL012W,CYS3,CYStathionine gamma-lyase,0
YAL013W,DEP1,Disability in regulation of Expression of genes involved in Phospholipid biosynthesis,0
YAL014C,SYN8,SYNtaxin,0
YAL015C,NTG1,eNdonuclease Three-like Glycosylase,0
YAL016C-B,,,0
YAL016W,TPD3,tRNA Processing Deficient,0
YAL017W,PSK1,Pas domain-containing Serine/threonine protein Kinase,0
YAL018C,LDS1,Lipid Droplets in Sporulation,0
YAL019W,FUN30,Function Unknown Now,0
YAL020C,ATS1,Alpha Tubulin Suppressor,0
YAL021C,CCR4,Carbon Catabolite Repression,0
YAL022C,FUN26,Function Unknown Now,0
YAL023C,PMT2,Protein O-MannosylTransferase,0
YAL025C,MAK16,MAintenance of Killer,1
YAL026C,DRS2,Deficiency of Ribosomal Subunits,0
YAL027W,SAW1,Single-strand Annealing Weakened,0
YAL028W,FRT2,Functionally Related to TCP1,0
YAL029C,MYO4,MYOsin,0
YAL030W,SNC1,Suppressor of the Null allele of CAP,0
YAL031C,GIP4,Glc7 Interacting Protein,0
YAL032C,PRP45,Pre-mRNA Processing,1
YAL033W,POP5,Processing Of Precursor RNAs,1
YAL034C,FUN19,Function Unknown Now,0
YAL034C-B,,,1
YAL034W-A,MTW1,Mis TWelve-like,1
YAL035W,FUN12,Function Unknown Now,0
YAL036C,RBG1,RiBosome interacting Gtpase,0
YAL037C-A,,,0
YAL037W,,,0
YAL038W,CDC19,Cell Division Cycle,1
YAL039C,CYC3,CYtochrome C,0
YAL040C,CLN3,CycLiN,0
YAL041W,CDC24,Cell Division Cycle,1
YAL042C-A,,,0
YAL042W,ERV46,ER Vesicle,0
YAL043C,PTA1,Pre-Trna Accumulation,1
YAL044C,GCV3,GlyCine cleaVage,0
YAL045C,,,0
YAL046C,BOL3,BolA-like protein,0
YAL047C,SPC72,Spindle Pole Component,1
YAL048C,GEM1,GTPase EF-hand protein of Mitochondria,0
YAL049C,AIM2,Altered Inheritance rate of Mitochondria,0
YAL051W,OAF1,Oleate-Activated transcription Factor,0
YAL053W,FLC2,FLavin Carrier,0
YAL054C,ACS1,Acetyl CoA Synthetase,0
YAL055W,PEX22,PEroXisome related,0
YAL056C-A,,,0
YAL056W,GPB2,,0
YAL058W,CNE1,CalNExin and calreticulin homolog,0
YAL059W,ECM1,ExtraCellular Mutant,0
YAL060W,BDH1,Butanediol DeHydrogenase,0
YAL061W,BDH2,,0
YAL062W,GDH3,Glutamate DeHydrogenase,0
YAL064C-A,TDA8,Topoisomerase I Damage Affected,0
YAL065C,,,0
YAL066W,,,0
YAL067C,SEO1,Suppressor of sulfoxyde EthiOnine resistance,0
YAL067W-A,,,0
YAL068C,PAU8,seriPAUperin,0
YAR002C-A,ERP1,Emp24p/Erv25p Related Protein,0
YAR002W,NUP60,NUclear Pore,0
YAR003W,SWD1,"Set1c, WD40 repeat protein",0
YAR007C,RFA1,Replication Factor A,1
YAR008W,SEN34,Splicing ENdonuclease,1
YAR014C,BUD14,BUD site selection,0
YAR015W,ADE1,ADEnine requiring,0
YAR018C,KIN3,protein KINase,0
YAR019C,CDC15,Cell Division Cycle,1
YAR020C,PAU7,seriPAUperin family,0
YAR023C,,,0
YAR027W,UIP3,Ulp1 Interacting Protein,0
YAR028W,,,0
YAR029W,,,0
YAR030C,,,0
YAR031W,PRM9,Pheromone-Regulated Membrane protein,0
YAR035C-A,,,0
YAR035W,YAT1,,0
YAR042W,SWH1,,0
YAR047C,,,0
YAR050W,FLO1,FLOcculation,0
YAR073W,IMD1,IMP Dehydrogenase,0
YBL001C,ECM15,ExtraCellular Mutant,0
