exchange,yeastGEM,verified
Oxygen,r_1992,TRUE
NH3,r_1654,TRUE
SLF,r_2060,TRUE
PI,r_2005,TRUE
Glucose,r_1714,TRUE
Glycerol,r_1808,TRUE
Lactate,r_1546,TRUE
Galactose,r_1710,TRUE
Raffinose,r_4043,TRUE
Ethanol,r_1761,TRUE
Acetate,r_1634,TRUE
Ergosterol,r_1757,TRUE
Zymosterol,r_2106,TRUE
Palmitoleate,r_1994,TRUE
stearate,r_2055,TRUE
oleate,r_2189,TRUE
linoleate,,Not found
ALA,r_1873,TRUE
ARG,r_1879,TRUE
ASN,r_1880,TRUE
ASP,r_1881,TRUE
CYS,r_1883,TRUE
GLU,r_1889,TRUE
GLN,r_1891,TRUE
GLY,r_1810,TRUE
HIS,r_1893,TRUE
ILE,r_1897,TRUE
LEU,r_1899,TRUE
LYS,r_1900,TRUE
MET,r_1902,TRUE
PHE,r_1903,TRUE
PRO,r_1904,TRUE
SER,r_1906,TRUE
THR,r_1911,TRUE
TRP,r_1912,TRUE
TYR,r_1913,TRUE
VAL,r_1914,TRUE
Potassium,r_2020,TRUE
Sodium,r_2049,TRUE
Biotin,r_1671,TRUE
Choline,r_1683,TRUE
Riboflavin,r_2038,TRUE
Thiamine,r_2067,TRUE
Inositol,r_1947,TRUE
Thymidine,r_2073,TRUE
Nicotinate,r_1967,TRUE
4-Aminobenzoate,r_1604,TRUE
(R)-Pantothenate,r_1548,TRUE
Pyridoxine,r_2028,TRUE
Uracile,r_2090,TRUE
Adenine,r_1639,TRUE
Antimycin A,,Not Found
