	Compound	Compound Name	yeastGEM
0		oxygen	oxygen
1		ammonium	ammonium
2		sulphate	sulphate
3		phosphate	phosphate
4		D-glucose	D-glucose
5		potassium	potassium
6		sodium	sodium
7		biotin	biotin
8		choline	choline
9		myo-inositol	myo-inositol
10		(R)-pantothenate	(R)-pantothenate
11		uracil	uracil
12		L-alanine	L-alanine
13		L-arginine	L-arginine
14		L-aspartate	L-aspartate
15		L-cysteine	L-cysteine
16		L-glutamate	L-glutamate
17		L-glycine	L-glycine
18		L-histidine	L-histidine
19		L-isoleucine	L-isoleucine
20		L-leucine	L-leucine
21		L-lysine	L-lysine
22		L-methionine	L-methionine
23		L-phenylalanine	L-phenylalanine
24		L-proline	L-proline
25		L-serine	L-serine
26		L-threonine	L-threonine
27		L-tryptophan	L-tryptophan
28		L-tyrosine	L-tyrosine
29		L-valine	L-valine
