	Compound	Compound Name	yeastGEM
0		oxygen	oxygen
1		ammonium	ammonium
2		sulphate	sulphate
3		phosphate	phosphate
4		D-glucose	D-glucose
5		L-alanine	L-alanine
6		L-asparagine	L-asparagine
7		L-aspartate	L-aspartate
8		L-cysteine	L-cysteine
9		L-glutamate	L-glutamate
10		L-glutamine	L-glutamine
11		L-glycine	L-glycine
12		L-histidine	L-histidine
13		L-isoleucine	L-isoleucine
14		L-leucine	L-leucine
15		L-lysine	L-lysine
16		L-methionine	L-methionine
17		L-phenylalanine	L-phenylalanine
18		L-proline	L-proline
19		L-serine	L-serine
20		L-threonine	L-threonine
21		L-tryptophan	L-tryptophan
22		L-tyrosine	L-tyrosine
23		L-valine	L-valine
24		potassium	potassium
25		sodium	sodium
26		biotin	biotin
27		riboflavin	riboflavin
28		myo-inositol	myo-inositol
29		uracil	uracil
30		adenine	adenine
