	Compound	Compound Name	yeastGEM
0		oxygen	oxygen
1		ammonium	ammonium
2		sulphate	sulphate
3		phosphate	phosphate
4		D-glucose	D-glucose
5		L-alanine	L-alanine
6		L-arginine	L-arginine
7		L-asparagine	L-asparagine
8		L-aspartate	L-aspartate
9		L-cysteine	L-cysteine
10		L-glutamate	L-glutamate
11		L-glutamine	L-glutamine
12		L-glycine	L-glycine
13		L-histidine	L-histidine
14		L-isoleucine	L-isoleucine
15		L-leucine	L-leucine
16		L-lysine	L-lysine
17		L-methionine	L-methionine
18		L-phenylalanine	L-phenylalanine
19		L-proline	L-proline
20		L-serine	L-serine
21		L-threonine	L-threonine
22		L-tryptophan	L-tryptophan
23		L-tyrosine	L-tyrosine
24		L-valine	L-valine
25		potassium	potassium
26		sodium	sodium
27		biotin	biotin
28		riboflavin	riboflavin
29		uracil	uracil
30		adenine	adenine
