	Compound	Compound Name	yeastGEM
0		ammonium	ammonium
1		sulphate	sulphate
2		phosphate	phosphate
3		D-glucose	D-glucose
4		ergosterol	ergosterol
5		zymosterol	zymosterol
6		stearate	stearate
7		oleate	oleate
8		L-alanine	L-alanine
9		L-arginine	L-arginine
10		L-aspartate	L-aspartate
11		L-cysteine	L-cysteine
12		L-glutamate	L-glutamate
13		L-glycine	L-glycine
14		L-histidine	L-histidine
15		L-isoleucine	L-isoleucine
16		L-leucine	L-leucine
17		L-lysine	L-lysine
18		L-methionine	L-methionine
19		L-phenylalanine	L-phenylalanine
20		L-proline	L-proline
21		L-serine	L-serine
22		L-threonine	L-threonine
23		L-tryptophan	L-tryptophan
24		L-tyrosine	L-tyrosine
25		L-valine	L-valine
26		potassium	potassium
27		sodium	sodium
28		biotin	biotin
29		choline	choline
30		riboflavin	riboflavin
31		thiamine	thiamine
32		myo-inositol	myo-inositol
33		thymidine	thymidine
34		nicotinate	nicotinate
35		4-aminobenzoate	4-aminobenzoate
36		(R)-pantothenate	(R)-pantothenate
37		pyridoxine	pyridoxine
38		uracil	uracil
